"t_state","t_county","tot_cap","avg_p_cap","avg_hh","avg_rd","ordinance","t_manu","turbines","t_model","t_rsa","t_ttlh","fraction_of_usable_area","capacity","wind_speed","capacity_factor","area_2010"
"MO","Barton",149.4,149.4,121.652173913043,118.260869565217,0,"Vestas",69,"V120-2.2",10995.5717391304,180.782608695652,0.886126923076923,14.7692307692308,7.52461538461538,0.436038461538462,591.92
"MO","Dade",27.8,149.4,121.384615384615,116.923076923077,0,"Vestas",13,"V120-2.2",10753.9115384615,179.846153846154,0.969572727272727,15.8181818181818,7.63545454545455,0.465909090909091,490.01
"MO","Gentry",56.7,56.7,80,88,0,"Suzlon",27,"S88",6082.12,124.1,0.976791803278689,15.8032786885246,7.49655737704918,0.412016393442623,491.42
"MO","Jasper",68.2,149.4,122,120,0,"Vestas",31,"V120-2.2",11309.73,182,0.999870588235294,16,7.61529411764706,0.465411764705882,638.49
"MO","Lawrence",53.4,149.4,121.36,116.8,0,"Vestas",25,"V120-2.2",10731.6788,179.76,0.850186428571429,14.3,7.81857142857143,0.473978571428571,611.74
"MO","Nodaway",528.9,219.286160714286,95.3482142857143,118.723214285714,0,"Vestas",224,"V120-2.2",11185.0986607143,154.730357142857,0.996501935483871,15.9612903225806,7.59516129032258,0.420529032258065,876.96
"MO","Schuyler",201.75,400,92.0666666666667,119.733333333333,1,"Vestas",90,"V120-2.2",11261.14,152.03,1,16,7.59,0.469,307.3
"MT","Carbon",233.8,239.8,80,110.216216216216,0,"Vestas",111,"V110-2.0",9541.69837837838,135.111711711712,0.880569047619048,14.547619047619,6.83869047619048,0.331154761904762,2048.79
"MT","Cascade",9,9,80,77,0,"GE Wind",6,"GE1.5-77",4656.63,118.6,0.767055357142857,12.9880952380952,7.86642857142857,0.420095238095238,2698.16
"MT","Fallon",30,15,80,77,0,"GE Wind",20,"GE1.5-77",4656.63,118.6,0.878544318181818,14.6590909090909,8.23636363636364,0.449613636363636,1620.77
"MT","Glacier",87,130.034482758621,80,77,0,"Acciona",58,"AW77/1500",4656.63,118.6,0.861551208791209,14.378021978022,8.78087912087912,0.420534065934066,2995.94
"MT","Judith Basin",119.9,61.4277777777778,85.3518518518518,105.787037037037,0,"GE Wind",54,"GE2.82-127",9161.21111111111,138.318518518519,0.858557627118644,14.2033898305085,8.32169491525424,0.43654802259887,1869.82
"MT","Meagher",9,9,80,77,0,"GE Wind",6,"GE1.5-77",4656.63,118.6,0.802606896551724,13.4252873563218,7.80471264367816,0.402528735632184,2391.91
"MT","Stillwater",79.75,79.75,84.1935483870968,118.064516129032,0,"Siemens Gamesa Renewable Energy",31,"SG-2.625-120",10963.1412903226,143.325806451613,0.845817105263158,14.1315789473684,6.72552631578947,0.298144736842105,1795.35
"MT","Sweet Grass",25.06,25.06,80,100,0,"GE Wind",14,"GE1.79-100",7853.98,130.1,0.864545038167939,14.4427480916031,7.51519083969466,0.353969465648855,1855.21
